rho,z,t
0.0001809280047624497,0.0008925111649999999,0.157281632705
8.094778314275111e-05,0.0024252593749999997,0.372337309775
0.0009307796669101891,0.0015494032549999998,0.10765339953500001
0.00013093789395260042,0.000308607085,0.008396933195000001
0.0006808291128609427,0.000746535145,0.22345261026500002
0.00033089833719199757,0.001184463205,0.09111065514500001
3.0957672332901824e-05,8.9643055e-05,0.27308084343500005
0.0006308390020510935,0.001330439225,0.20690986587500004
0.0009807697777200384,0.000819523155,0.6204784756250001
0.0002809082263821483,0.001622391265,0.09111065514500001
3.0957672332901824e-05,0.002644223405,0.32270907660500003
0.0009807697777200384,0.001184463205,0.157281632705
0.0002809082263821483,0.001184463205,0.17382437709500004
0.0003808884480018469,0.001403427235,0.20690986587500004
0.0001809280047624497,0.002133307335,0.008396933195000001
0.00023091811557229898,1.6655045000000005e-05,0.45505103172500005
0.0001809280047624497,0.00038159509500000004,0.058025166365000005
0.0001809280047624497,0.000600559125,0.17382437709500004
0.0008807895561003399,0.001257451215,0.14073888831500003
0.0004308785588116961,0.0024252593749999997,0.04148242197500001
0.00013093789395260042,0.00038159509500000004,0.20690986587500004
0.0009307796669101891,0.001038487185,0.23999535465500005
0.0003808884480018469,0.00023561907499999998,0.22345261026500002
3.0957672332901824e-05,-0.00020230898500000002,0.256538099045
0.00023091811557229898,0.000527571115,0.14073888831500003
0.00033089833719199757,0.00045458310499999995,0.22345261026500002
0.0002809082263821483,0.001403427235,0.190367121485
0.00013093789395260042,0.000527571115,0.058025166365000005
0.0001809280047624497,0.00038159509500000004,0.09111065514500001
0.0007808093344806412,0.002571235395,0.20690986587500004
0.00013093789395260042,0.00045458310499999995,0.008396933195000001
3.0957672332901824e-05,-0.000275296995,0.058025166365000005
0.0008807895561003399,0.0008925111649999999,1.182931784885
0.0002809082263821483,0.000600559125,0.20690986587500004
0.00013093789395260042,0.0008925111649999999,0.07456791075500001
0.0001809280047624497,0.0009654991749999999,0.17382437709500004
0.0009307796669101891,0.001622391265,0.20690986587500004
0.00033089833719199757,0.000600559125,0.45505103172500005
0.00033089833719199757,0.001257451215,0.07456791075500001
0.00023091811557229898,0.00023561907499999998,0.09111065514500001
0.0001809280047624497,0.0011114751949999999,0.14073888831500003
0.00023091811557229898,-0.00020230898500000002,0.12419614392500002
0.0002809082263821483,8.9643055e-05,0.024939677585000007
8.094778314275111e-05,0.00045458310499999995,0.33925182099500006
0.0004308785588116961,-0.000129320975,0.4219655429450001
0.0003808884480018469,0.001841355295,0.14073888831500003
0.0014306807750086822,0.001184463205,0.09111065514500001
0.00023091811557229898,0.001330439225,0.09111065514500001
0.0001809280047624497,0.00023561907499999998,0.23999535465500005
0.0001809280047624497,0.0006735471349999999,0.14073888831500003
0.00033089833719199757,0.00016263106499999998,0.45505103172500005
0.0006808291128609427,0.001038487185,0.09111065514500001
0.0003808884480018469,0.001622391265,0.23999535465500005
0.0001809280047624497,0.001622391265,0.14073888831500003
0.0011807302209594357,0.0016953792749999999,0.23999535465500005
0.00013093789395260042,0.0015494032549999998,0.438508287335
0.00023091811557229898,0.001403427235,0.024939677585000007
0.00048086866962154546,0.001914343305,0.04148242197500001
0.0004308785588116961,0.001622391265,0.09111065514500001
0.0001809280047624497,0.0020603193249999997,0.14073888831500003
0.0005808488912412441,0.0017683672849999998,0.058025166365000005
0.00013093789395260042,0.001038487185,0.04148242197500001
0.00013093789395260042,0.000746535145,0.4715937761150001
0.00013093789395260042,0.000527571115,0.157281632705
0.0004308785588116961,0.002133307335,0.09111065514500001
0.00023091811557229898,0.0009654991749999999,0.09111065514500001
3.0957672332901824e-05,0.000819523155,0.12419614392500002
0.0003808884480018469,0.000819523155,0.008396933195000001
0.0006308390020510935,0.002133307335,0.04148242197500001
0.0010307598885298877,0.000819523155,0.157281632705
0.0010307598885298877,0.004760875695000001,0.190367121485
0.00048086866962154546,0.0009654991749999999,0.024939677585000007
0.00023091811557229898,0.003155139475,0.5873929868450001
0.0001809280047624497,0.000600559125,0.3557945653850001
0.00048086866962154546,0.00038159509500000004,0.438508287335
0.0006808291128609427,0.00023561907499999998,0.22345261026500002
0.0003808884480018469,0.004103983605,0.20690986587500004
0.0009307796669101891,0.001622391265,0.5708502424550002
0.0005308587804313948,0.000746535145,0.190367121485
0.0002809082263821483,0.00016263106499999998,0.190367121485
0.0003808884480018469,0.0017683672849999998,0.058025166365000005
0.00023091811557229898,0.001038487185,0.14073888831500003
0.0011807302209594357,0.0034470915150000003,0.23999535465500005
0.0004308785588116961,0.0006735471349999999,0.190367121485
0.0005308587804313948,0.0015494032549999998,0.7528204307450002
0.0007308192236707919,0.001987331315,0.2896235878250001
0.0003808884480018469,0.000600559125,0.3557945653850001
0.00013093789395260042,0.0006735471349999999,0.504679264895
3.0957672332901824e-05,0.0008925111649999999,0.17382437709500004
0.0006808291128609427,0.000819523155,0.09111065514500001
0.0003808884480018469,0.000527571115,0.14073888831500003
0.00033089833719199757,0.0008925111649999999,0.008396933195000001
0.0005308587804313948,0.001622391265,0.17382437709500004
0.0004308785588116961,0.000819523155,0.27308084343500005
0.00023091811557229898,0.0009654991749999999,0.5708502424550002
0.0001809280047624497,0.0008925111649999999,0.38888005416500004
0.0006308390020510935,0.0009654991749999999,0.4715937761150001
0.0001809280047624497,0.000308607085,0.23999535465500005
8.094778314275111e-05,0.001841355295,0.12419614392500002
0.0011307401101495864,0.001841355295,0.27308084343500005
0.0003808884480018469,0.0008925111649999999,0.5708502424550002
0.0007308192236707919,0.000308607085,0.4881365205050001
0.0006808291128609427,0.0016953792749999999,0.12419614392500002
0.0005808488912412441,0.0006735471349999999,0.10765339953500001
0.0008307994452904906,0.0020603193249999997,0.17382437709500004
0.0011307401101495864,0.001330439225,0.14073888831500003
0.00023091811557229898,0.001622391265,0.8686196414750003
0.00023091811557229898,0.0011114751949999999,0.157281632705
0.00048086866962154546,0.001257451215,0.4054227985550001
0.0004308785588116961,0.0006735471349999999,0.008396933195000001
0.00048086866962154546,0.000746535145,0.10765339953500001
0.0002809082263821483,0.000308607085,0.008396933195000001
0.00033089833719199757,-5.633296500000001e-05,0.17382437709500004
0.00158065110743823,0.001987331315,0.157281632705
0.0004308785588116961,0.001257451215,0.008396933195000001
8.094778314275111e-05,-5.633296500000001e-05,0.2896235878250001
0.00013093789395260042,0.00016263106499999998,0.09111065514500001
0.0001809280047624497,0.00038159509500000004,0.33925182099500006
0.0011807302209594357,0.0030821514650000003,0.07456791075500001
0.0011307401101495864,0.00023561907499999998,0.7197349419650001
0.0003808884480018469,0.0008925111649999999,0.6535639644050002
0.0005808488912412441,0.003009163455,0.438508287335
0.0002809082263821483,0.000308607085,0.07456791075500001
0.00023091811557229898,0.00045458310499999995,0.22345261026500002
0.0009307796669101891,0.0009654991749999999,0.33925182099500006
0.0003808884480018469,0.000746535145,0.17382437709500004
0.0005808488912412441,0.0009654991749999999,0.5543074980650002
0.0007308192236707919,0.0027901994249999998,0.058025166365000005
0.0001809280047624497,0.0006735471349999999,0.32270907660500003
0.0009307796669101891,0.001330439225,0.14073888831500003
0.0018805917722973257,0.001476415245,0.058025166365000005
0.0008307994452904906,0.0011114751949999999,0.17382437709500004
0.00033089833719199757,0.001038487185,0.438508287335
0.001230720331769285,0.004322947635,0.04148242197500001
0.0006808291128609427,0.000819523155,0.10765339953500001
0.00023091811557229898,0.00016263106499999998,0.4054227985550001
3.0957672332901824e-05,0.001184463205,0.2896235878250001
0.00013093789395260042,0.000819523155,0.33925182099500006
0.00023091811557229898,0.000746535145,0.058025166365000005
0.0002809082263821483,0.0016953792749999999,0.4881365205050001
0.0001809280047624497,0.001184463205,0.38888005416500004
0.00013093789395260042,0.00016263106499999998,0.190367121485
3.0957672332901824e-05,0.001038487185,0.04148242197500001
0.00048086866962154546,0.0008925111649999999,0.33925182099500006
0.00013093789395260042,1.6655045000000005e-05,0.024939677585000007
0.00023091811557229898,0.001038487185,0.07456791075500001
0.00013093789395260042,-5.633296500000001e-05,0.12419614392500002
0.00023091811557229898,0.001914343305,0.20690986587500004
0.0005308587804313948,0.00016263106499999998,0.6204784756250001
0.001080749999339737,0.0015494032549999998,0.306166332215
0.00013093789395260042,0.00038159509500000004,0.190367121485
0.00033089833719199757,0.001330439225,0.8355341526950002
0.00013093789395260042,0.000819523155,0.09111065514500001
0.00013093789395260042,0.001403427235,0.14073888831500003
0.0008307994452904906,0.000746535145,0.058025166365000005
0.0002809082263821483,0.000819523155,0.07456791075500001
8.094778314275111e-05,0.001403427235,0.372337309775
0.0001809280047624497,0.000527571115,0.190367121485
0.0008307994452904906,0.002279283355,0.8851623858650002
0.00048086866962154546,0.001038487185,0.04148242197500001
0.00023091811557229898,0.001622391265,0.14073888831500003
0.00048086866962154546,0.000600559125,0.22345261026500002
0.0005308587804313948,0.0017683672849999998,0.256538099045
0.00033089833719199757,0.0011114751949999999,0.14073888831500003
0.0015306609966283806,0.000600559125,0.23999535465500005
0.0009307796669101891,0.0006735471349999999,0.10765339953500001
0.0005808488912412441,0.001476415245,0.23999535465500005
0.0002809082263821483,0.00023561907499999998,0.024939677585000007
0.0001809280047624497,8.9643055e-05,0.024939677585000007
0.0001809280047624497,0.002498247385,0.306166332215
0.0005808488912412441,0.001476415245,0.058025166365000005
0.0001809280047624497,0.000600559125,0.008396933195000001
8.094778314275111e-05,-5.633296500000001e-05,0.4219655429450001
0.0006808291128609427,0.002571235395,0.4219655429450001
0.00023091811557229898,0.000308607085,0.45505103172500005
0.00048086866962154546,0.001257451215,0.10765339953500001
0.00013093789395260042,0.001184463205,0.10765339953500001
0.00023091811557229898,0.0008925111649999999,0.4219655429450001
0.00023091811557229898,0.00038159509500000004,0.3557945653850001
0.00023091811557229898,0.0015494032549999998,0.12419614392500002
0.00013093789395260042,0.0008925111649999999,0.23999535465500005
8.094778314275111e-05,0.000819523155,0.12419614392500002
0.0003808884480018469,0.0009654991749999999,0.20690986587500004
0.0002809082263821483,0.00045458310499999995,0.190367121485
0.0005308587804313948,0.0011114751949999999,0.07456791075500001
0.0002809082263821483,0.000746535145,0.306166332215
0.0008807895561003399,0.0030821514650000003,0.38888005416500004
0.00013093789395260042,0.001184463205,0.008396933195000001
0.0001809280047624497,0.0006735471349999999,0.12419614392500002
0.001080749999339737,0.0024252593749999997,0.07456791075500001
0.0003808884480018469,0.0009654991749999999,0.256538099045
0.00033089833719199757,0.001257451215,0.2896235878250001
0.0002809082263821483,0.0015494032549999998,0.07456791075500001
3.0957672332901824e-05,0.00023561907499999998,0.4219655429450001
0.00048086866962154546,0.0011114751949999999,0.058025166365000005
0.0001809280047624497,0.001038487185,0.14073888831500003
0.00013093789395260042,-0.000129320975,0.17382437709500004
0.00023091811557229898,0.00023561907499999998,0.04148242197500001
0.0001809280047624497,0.0011114751949999999,0.12419614392500002
0.0001809280047624497,0.001038487185,0.17382437709500004
0.0002809082263821483,0.00023561907499999998,0.04148242197500001
0.00013093789395260042,-5.633296500000001e-05,0.20690986587500004
3.0957672332901824e-05,0.001476415245,0.10765339953500001
3.0957672332901824e-05,-5.633296500000001e-05,0.09111065514500001
0.0007308192236707919,0.002644223405,0.7528204307450002
0.0004308785588116961,0.0027172114150000003,0.09111065514500001
8.094778314275111e-05,0.000746535145,0.07456791075500001
8.094778314275111e-05,0.000746535145,0.157281632705
0.0005308587804313948,0.001914343305,0.45505103172500005
0.0002809082263821483,0.00045458310499999995,0.14073888831500003
0.0004308785588116961,0.000308607085,0.23999535465500005
0.0007308192236707919,0.001184463205,0.22345261026500002
0.0005308587804313948,0.000819523155,0.14073888831500003
0.0002809082263821483,0.001622391265,0.14073888831500003
0.00013093789395260042,0.0008925111649999999,0.058025166365000005
3.0957672332901824e-05,0.0006735471349999999,0.2896235878250001
0.0002809082263821483,0.000308607085,0.157281632705
0.00023091811557229898,0.00045458310499999995,0.38888005416500004
0.00023091811557229898,0.000527571115,0.504679264895
0.0008307994452904906,0.001622391265,0.438508287335
0.0005308587804313948,0.004687887685,0.27308084343500005
0.0009307796669101891,0.000819523155,0.306166332215
0.0002809082263821483,0.000527571115,0.09111065514500001
0.0011307401101495864,0.0008925111649999999,0.157281632705
0.0007308192236707919,0.0017683672849999998,0.20690986587500004
0.00013093789395260042,8.9643055e-05,0.8189914083050003
0.00048086866962154546,0.001841355295,0.20690986587500004
0.0003808884480018469,0.0011114751949999999,0.7528204307450002
0.0002809082263821483,0.00045458310499999995,0.32270907660500003
0.0002809082263821483,0.004103983605,0.256538099045
0.0002809082263821483,0.0011114751949999999,0.14073888831500003
0.00013093789395260042,0.001987331315,0.306166332215
0.00023091811557229898,0.000819523155,0.17382437709500004
0.00013093789395260042,0.00038159509500000004,0.20690986587500004
0.00033089833719199757,0.001622391265,0.504679264895
0.0006308390020510935,0.001987331315,0.27308084343500005
0.002230522547966271,0.003228127485,0.024939677585000007
8.094778314275111e-05,0.000600559125,0.27308084343500005
0.0010307598885298877,0.001841355295,0.306166332215
0.0005808488912412441,0.00038159509500000004,0.14073888831500003
0.00023091811557229898,0.0008925111649999999,0.9844188522050001
0.00048086866962154546,0.00038159509500000004,0.14073888831500003
3.0957672332901824e-05,0.000819523155,0.33925182099500006
0.0002809082263821483,0.0008925111649999999,0.09111065514500001
0.0003808884480018469,0.001330439225,0.157281632705
8.094778314275111e-05,0.00045458310499999995,0.09111065514500001
0.00033089833719199757,0.0020603193249999997,0.157281632705
0.0024304829912056678,0.001987331315,0.008396933195000001
8.094778314275111e-05,0.000527571115,0.04148242197500001
0.0003808884480018469,0.001476415245,0.190367121485
0.0001809280047624497,-0.000129320975,0.14073888831500003
0.0002809082263821483,0.001403427235,0.024939677585000007
8.094778314275111e-05,0.0006735471349999999,0.23999535465500005
8.094778314275111e-05,0.003593067535,0.3557945653850001
0.00033089833719199757,0.000746535145,0.07456791075500001
0.0003808884480018469,0.00023561907499999998,0.07456791075500001
0.00013093789395260042,0.000819523155,0.14073888831500003
0.0007808093344806412,0.0011114751949999999,0.10765339953500001
0.0002809082263821483,0.001038487185,0.07456791075500001
3.0957672332901824e-05,0.00016263106499999998,0.12419614392500002
0.00048086866962154546,0.000527571115,0.33925182099500006
0.00033089833719199757,0.0009654991749999999,0.6039357312350002
0.0010307598885298877,0.0011114751949999999,0.20690986587500004
0.0003808884480018469,0.0008925111649999999,0.12419614392500002
0.001080749999339737,0.0016953792749999999,0.22345261026500002
0.0004308785588116961,0.001257451215,0.10765339953500001
0.0005308587804313948,0.00045458310499999995,0.09111065514500001
0.0005808488912412441,0.001330439225,0.256538099045
0.00013093789395260042,0.000527571115,0.33925182099500006
0.0002809082263821483,0.0008925111649999999,0.07456791075500001
0.0012807104425791342,0.00045458310499999995,0.190367121485
8.094778314275111e-05,0.000600559125,0.6701067087950001
0.0003808884480018469,0.002644223405,0.3557945653850001
0.0002809082263821483,0.0009654991749999999,0.33925182099500006
0.0007308192236707919,0.000746535145,0.5212220092850002
0.00033089833719199757,0.000746535145,0.2896235878250001
0.00033089833719199757,0.000746535145,0.024939677585000007
8.094778314275111e-05,1.6655045000000005e-05,0.306166332215
0.0002809082263821483,0.0006735471349999999,0.10765339953500001
0.0001809280047624497,0.0016953792749999999,0.9513333634250003
3.0957672332901824e-05,-0.000129320975,0.14073888831500003
0.0005308587804313948,0.000600559125,0.8189914083050003
0.00023091811557229898,0.001038487185,0.504679264895
0.0001809280047624497,0.001841355295,0.20690986587500004
0.0002809082263821483,0.001622391265,0.306166332215
0.0002809082263821483,0.0016953792749999999,0.33925182099500006
0.0008807895561003399,0.000746535145,0.3557945653850001
0.00023091811557229898,0.001987331315,0.04148242197500001
0.00033089833719199757,-5.633296500000001e-05,0.157281632705
3.0957672332901824e-05,0.0006735471349999999,0.09111065514500001
0.00023091811557229898,0.000746535145,0.372337309775
0.0008307994452904906,0.001038487185,0.07456791075500001
0.00013093789395260042,0.000308607085,0.10765339953500001
0.00023091811557229898,0.000746535145,0.256538099045
0.0002809082263821483,1.6655045000000005e-05,0.008396933195000001
0.0005808488912412441,0.001476415245,0.22345261026500002
0.0001809280047624497,0.001038487185,0.058025166365000005
0.00013093789395260042,0.00045458310499999995,0.22345261026500002
0.0004308785588116961,0.00045458310499999995,0.45505103172500005
0.0003808884480018469,0.001403427235,0.306166332215
8.094778314275111e-05,0.00016263106499999998,0.14073888831500003
0.00033089833719199757,0.0006735471349999999,0.058025166365000005
0.0006308390020510935,0.001330439225,0.12419614392500002
0.00023091811557229898,0.000600559125,0.09111065514500001
0.00013093789395260042,0.001038487185,0.438508287335
0.0002809082263821483,0.001038487185,0.22345261026500002
3.0957672332901824e-05,0.000600559125,0.024939677585000007
8.094778314275111e-05,0.0011114751949999999,0.17382437709500004
0.00013093789395260042,0.0006735471349999999,0.04148242197500001
0.0013806906641988328,0.0011114751949999999,0.10765339953500001
0.0004308785588116961,0.0020603193249999997,0.20690986587500004
3.0957672332901824e-05,0.00038159509500000004,0.14073888831500003
0.0005808488912412441,0.001841355295,0.3557945653850001
0.00033089833719199757,0.000527571115,0.07456791075500001
0.00048086866962154546,0.0020603193249999997,0.09111065514500001
0.0010307598885298877,0.001330439225,0.372337309775
0.0007308192236707919,0.003009163455,0.024939677585000007
0.00013093789395260042,0.000746535145,0.04148242197500001
0.0005808488912412441,0.002279283355,0.4715937761150001
0.0003808884480018469,0.0016953792749999999,0.3557945653850001
0.0008307994452904906,0.0008925111649999999,0.6701067087950001
0.0013307005533889835,8.9643055e-05,0.22345261026500002
0.0003808884480018469,0.001184463205,0.04148242197500001
0.00013093789395260042,0.000600559125,0.20690986587500004
0.0001809280047624497,0.0006735471349999999,0.22345261026500002
0.0005308587804313948,0.001914343305,0.8520768970850001
0.00013093789395260042,0.00045458310499999995,0.9678761078150002
0.00033089833719199757,1.6655045000000005e-05,0.17382437709500004
0.0006308390020510935,0.003228127485,0.14073888831500003
0.0008807895561003399,0.0009654991749999999,0.157281632705
0.0007308192236707919,0.0006735471349999999,0.04148242197500001
0.00033089833719199757,0.00045458310499999995,0.20690986587500004
0.0002809082263821483,0.001330439225,0.17382437709500004
8.094778314275111e-05,0.000308607085,0.256538099045
0.0003808884480018469,0.0009654991749999999,0.4054227985550001
0.0003808884480018469,0.00045458310499999995,0.157281632705
0.00023091811557229898,0.000527571115,0.07456791075500001
0.0003808884480018469,0.0020603193249999997,0.10765339953500001
0.0001809280047624497,8.9643055e-05,0.23999535465500005
0.0003808884480018469,0.00038159509500000004,0.157281632705
0.0006808291128609427,0.0009654991749999999,0.38888005416500004
0.0001809280047624497,0.0006735471349999999,0.157281632705
8.094778314275111e-05,0.002571235395,0.024939677585000007
0.00013093789395260042,0.001184463205,0.058025166365000005
3.0957672332901824e-05,0.000308607085,0.157281632705
0.0008807895561003399,0.0008925111649999999,0.20690986587500004
0.00033089833719199757,0.0017683672849999998,0.157281632705
0.00033089833719199757,0.000746535145,0.23999535465500005
8.094778314275111e-05,-0.000129320975,0.190367121485
0.00023091811557229898,0.0008925111649999999,0.07456791075500001
0.00023091811557229898,0.001184463205,0.3557945653850001
0.0002809082263821483,0.001184463205,0.07456791075500001
0.0007308192236707919,0.0027172114150000003,0.38888005416500004
0.00033089833719199757,0.0009654991749999999,0.14073888831500003
0.0006808291128609427,-5.633296500000001e-05,0.17382437709500004
0.00033089833719199757,1.6655045000000005e-05,0.058025166365000005
8.094778314275111e-05,0.000819523155,0.07456791075500001
0.0002809082263821483,0.001403427235,0.504679264895
0.0005308587804313948,0.00016263106499999998,0.38888005416500004
0.0004308785588116961,0.00045458310499999995,0.22345261026500002
0.00013093789395260042,-0.000129320975,0.09111065514500001
0.0002809082263821483,0.0008925111649999999,0.22345261026500002
8.094778314275111e-05,8.9643055e-05,1.1167608073250002
0.002530463212825366,0.002498247385,0.14073888831500003
0.0006308390020510935,0.002571235395,0.058025166365000005
0.0005808488912412441,0.001184463205,0.14073888831500003
0.00023091811557229898,0.000308607085,0.008396933195000001
0.00013093789395260042,0.00016263106499999998,0.32270907660500003
0.00033089833719199757,-0.000129320975,0.2896235878250001
0.0003808884480018469,0.002206295345,0.27308084343500005
0.00033089833719199757,0.0020603193249999997,0.5212220092850002
3.0957672332901824e-05,0.000527571115,0.45505103172500005
3.0957672332901824e-05,0.000600559125,0.058025166365000005
8.094778314275111e-05,0.001330439225,0.04148242197500001
0.0003808884480018469,0.000600559125,0.4881365205050001
0.0012807104425791342,0.0027172114150000003,0.12419614392500002
0.00013093789395260042,0.0008925111649999999,0.190367121485
0.0004308785588116961,0.0009654991749999999,0.12419614392500002
0.0009307796669101891,0.001914343305,0.024939677585000007
0.0002809082263821483,0.001403427235,0.438508287335
0.0002809082263821483,0.0015494032549999998,0.058025166365000005
0.00023091811557229898,0.0011114751949999999,0.306166332215
8.094778314275111e-05,0.00038159509500000004,0.23999535465500005
0.0005308587804313948,0.001257451215,0.12419614392500002
0.0001809280047624497,0.000819523155,0.23999535465500005
0.0002809082263821483,0.000527571115,0.024939677585000007
0.0002809082263821483,0.0008925111649999999,0.256538099045
0.00048086866962154546,0.00038159509500000004,0.09111065514500001
0.0020305621047268735,0.002206295345,0.10765339953500001
8.094778314275111e-05,0.000527571115,0.504679264895
8.094778314275111e-05,0.00045458310499999995,0.2896235878250001
0.001080749999339737,0.001914343305,0.008396933195000001
0.00023091811557229898,0.000600559125,0.10765339953500001
0.0003808884480018469,0.002571235395,0.14073888831500003
0.0009307796669101891,0.001987331315,0.22345261026500002
0.0014306807750086822,0.002498247385,0.14073888831500003
0.0002809082263821483,0.001184463205,0.058025166365000005
0.0001809280047624497,0.0008925111649999999,0.09111065514500001
0.0001809280047624497,0.000746535145,0.23999535465500005
0.0003808884480018469,0.0006735471349999999,0.07456791075500001
0.0001809280047624497,0.00016263106499999998,0.32270907660500003
0.0004308785588116961,0.001987331315,0.14073888831500003
0.00013093789395260042,0.0011114751949999999,0.10765339953500001
0.0005308587804313948,0.003593067535,0.07456791075500001
3.0957672332901824e-05,0.0008925111649999999,0.04148242197500001
8.094778314275111e-05,0.00045458310499999995,0.157281632705
0.0001809280047624497,0.0008925111649999999,0.20690986587500004
0.00023091811557229898,0.00038159509500000004,0.5377647536750001
0.0012807104425791342,8.9643055e-05,0.04148242197500001
0.001080749999339737,0.001330439225,0.024939677585000007
0.0002809082263821483,0.001330439225,0.3557945653850001
0.0003808884480018469,0.000308607085,0.22345261026500002
0.0005308587804313948,0.0009654991749999999,0.10765339953500001
0.0001809280047624497,0.000746535145,0.008396933195000001
0.0002809082263821483,0.0006735471349999999,0.372337309775
0.0005308587804313948,0.00016263106499999998,0.04148242197500001
0.0004308785588116961,0.001403427235,0.12419614392500002
0.00013093789395260042,0.000819523155,0.09111065514500001
0.0006308390020510935,0.001476415245,0.07456791075500001
0.0008307994452904906,0.000527571115,0.8355341526950002
0.0004308785588116961,0.001476415245,0.008396933195000001
0.00033089833719199757,0.001476415245,0.4219655429450001
0.0001809280047624497,0.00038159509500000004,0.17382437709500004
0.0004308785588116961,0.004395935645000001,0.27308084343500005
0.00013093789395260042,0.00045458310499999995,0.14073888831500003
0.0001809280047624497,0.000527571115,0.190367121485
0.00048086866962154546,0.001184463205,0.17382437709500004
0.0002809082263821483,0.000308607085,0.024939677585000007
0.00033089833719199757,0.0006735471349999999,0.2896235878250001
0.0002809082263821483,0.002206295345,0.09111065514500001
0.00023091811557229898,0.001184463205,0.07456791075500001
0.0010307598885298877,0.001403427235,0.10765339953500001
0.0006308390020510935,0.000308607085,0.024939677585000007
0.0014306807750086822,0.0023522713650000002,0.2896235878250001
0.0029803742101140096,0.001841355295,0.3557945653850001
0.0003808884480018469,0.000527571115,0.157281632705
0.0005808488912412441,0.0008925111649999999,0.20690986587500004
0.0002809082263821483,0.0009654991749999999,0.22345261026500002
0.00013093789395260042,1.6655045000000005e-05,0.4054227985550001
0.0009807697777200384,0.003374103505,0.27308084343500005
0.0011807302209594357,0.001914343305,0.10765339953500001
0.0011307401101495864,0.002133307335,0.008396933195000001
0.00048086866962154546,0.000819523155,0.2896235878250001
8.094778314275111e-05,0.000746535145,0.20690986587500004
0.00023091811557229898,0.001841355295,0.33925182099500006
0.002530463212825366,0.0027172114150000003,0.20690986587500004
0.0001809280047624497,0.002133307335,0.372337309775
0.0006808291128609427,0.0006735471349999999,0.04148242197500001
0.00023091811557229898,0.000600559125,0.09111065514500001
0.001730621439867778,0.0027172114150000003,0.14073888831500003
0.0005308587804313948,0.000527571115,0.22345261026500002
0.0003808884480018469,0.0008925111649999999,0.256538099045
3.0957672332901824e-05,0.000819523155,0.5377647536750001
0.0006308390020510935,8.9643055e-05,0.33925182099500006
0.0004308785588116961,0.001622391265,0.4715937761150001
0.0003808884480018469,1.6655045000000005e-05,0.024939677585000007
0.00013093789395260042,0.001038487185,0.372337309775
0.00033089833719199757,0.001403427235,0.6866494531850003
0.0004308785588116961,0.001622391265,0.2896235878250001
0.0007808093344806412,0.0024252593749999997,0.2896235878250001
0.0009307796669101891,0.0029361754449999996,0.32270907660500003
0.0006808291128609427,-5.633296500000001e-05,0.38888005416500004
0.0002809082263821483,0.00016263106499999998,0.12419614392500002
0.0002809082263821483,0.001330439225,0.10765339953500001
0.0010307598885298877,0.001184463205,0.7693631751350001
0.0002809082263821483,0.0008925111649999999,0.372337309775
0.0005308587804313948,0.000746535145,0.04148242197500001
0.0006308390020510935,0.001987331315,0.4715937761150001
0.00023091811557229898,0.0009654991749999999,0.3557945653850001
0.0006808291128609427,0.001257451215,0.6370212200150001
0.0014306807750086822,0.0024252593749999997,0.157281632705
0.0002809082263821483,0.001257451215,0.07456791075500001
0.0001809280047624497,0.0009654991749999999,0.27308084343500005
3.0957672332901824e-05,0.000308607085,0.2896235878250001
0.0002809082263821483,0.003520079525,0.20690986587500004
0.0001809280047624497,0.0008925111649999999,0.04148242197500001
0.0013307005533889835,0.003155139475,0.23999535465500005
0.0002809082263821483,0.00016263106499999998,1.1994745292750002
0.0004308785588116961,0.0009654991749999999,0.008396933195000001
0.00033089833719199757,0.0008925111649999999,0.12419614392500002
0.0005808488912412441,0.001184463205,0.10765339953500001
0.00023091811557229898,0.000746535145,0.4219655429450001
0.0001809280047624497,0.00038159509500000004,0.372337309775
0.00013093789395260042,0.000308607085,0.04148242197500001
8.094778314275111e-05,-0.000275296995,0.27308084343500005
0.00013093789395260042,0.0008925111649999999,0.12419614392500002
0.0008307994452904906,0.0029361754449999996,0.372337309775
0.00013093789395260042,0.00016263106499999998,0.058025166365000005
0.0001809280047624497,0.00038159509500000004,0.09111065514500001
0.00023091811557229898,0.00038159509500000004,0.12419614392500002
0.0004308785588116961,0.0006735471349999999,0.14073888831500003
0.00013093789395260042,-0.000129320975,0.38888005416500004
0.0006308390020510935,0.000308607085,0.09111065514500001
0.00013093789395260042,0.001987331315,0.256538099045
0.00023091811557229898,0.0011114751949999999,0.38888005416500004
0.0008307994452904906,0.0027901994249999998,0.38888005416500004
0.0001809280047624497,0.0015494032549999998,0.20690986587500004
0.0013806906641988328,0.004249959625000001,0.306166332215
0.00023091811557229898,0.001622391265,0.10765339953500001
8.094778314275111e-05,0.00016263106499999998,0.3557945653850001
0.00023091811557229898,0.000527571115,0.4881365205050001
0.00013093789395260042,1.6655045000000005e-05,0.256538099045
0.00033089833719199757,0.001184463205,0.190367121485
0.0001809280047624497,0.000527571115,0.6039357312350002
0.0004308785588116961,0.001476415245,0.157281632705
0.00033089833719199757,0.000527571115,0.256538099045
0.00023091811557229898,0.001184463205,0.10765339953500001
0.001080749999339737,0.0015494032549999998,0.190367121485
0.0004308785588116961,0.0027172114150000003,0.27308084343500005
0.00023091811557229898,0.0009654991749999999,0.4715937761150001
0.00013093789395260042,0.000746535145,0.10765339953500001
0.00048086866962154546,0.00038159509500000004,0.10765339953500001
0.0018805917722973257,0.001257451215,0.38888005416500004
